Id,colony,image,area,xcoord,ycoord,b_pres
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,186.6434258,169.6303011,-73.3482544,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,471.6441351,169.6400298,-73.35054267,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,47.79440313,169.6401044,-73.35026211,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,118.7590967,169.6402675,-73.3499535,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,179.3653074,169.639827,-73.349865,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,159.9810122,169.6380382,-73.34991366,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,40.67673222,169.638931,-73.3499331,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,221.1324062,169.6388458,-73.34968099,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,180.6374018,169.6401303,-73.34947617,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,271.4986691,169.6399739,-73.34933739,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,188.2968768,169.6374214,-73.34950964,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,31.99863968,169.6387073,-73.34912027,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,187.9860184,169.6379384,-73.34890312,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,226.3000529,169.6392475,-73.34867002,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,192.5380861,169.6381129,-73.3486588,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,32.87072001,169.6374419,-73.34858053,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,35.28571166,169.6374163,-73.34839811,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,327.8671823,169.6374643,-73.34736574,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,210.8950753,169.638984,-73.34747278,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,147.9905655,169.6390866,-73.34716936,yes
0,Coulman Island,2024-06-07-12-39-24_UMBRA-04_GEC.tif,291.6390488,169.6383799,-73.34699102,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,485.8940294,169.6483444,-73.34364825,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,30.13652158,169.6470017,-73.34420569,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,120.9987432,169.6373313,-73.34529106,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,137.3126386,169.6376715,-73.3453578,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,71.59549745,169.637621,-73.34562485,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,308.5065682,169.6373707,-73.34707804,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,305.5543523,169.6358781,-73.34705899,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,21.78312927,169.6353891,-73.3470805,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,240.9590354,169.6338607,-73.34751089,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,180.0643836,169.6364408,-73.34818712,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,282.6434932,169.6353832,-73.34809478,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,171.2908967,169.6335946,-73.34804867,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,87.19432215,169.6338581,-73.34793407,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,193.72358,169.6327829,-73.34817652,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,121.9140452,169.6353532,-73.34844893,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,263.5164603,169.6344229,-73.34889602,yes
0,Coulman Island,2024-06-19-20-47-45_UMBRA-07_GEC.tif,425.4933234,169.63367,-73.34863529,yes
0,Coulman Island,2024-07-10-21-17-47_UMBRA-04_GEC.tif,504.2260125,169.6371941,-73.34659026,yes
0,Coulman Island,2024-07-10-21-17-47_UMBRA-04_GEC.tif,1398.102952,169.6361541,-73.34692892,yes
0,Coulman Island,2024-07-10-21-17-47_UMBRA-04_GEC.tif,585.6406444,169.6345201,-73.3468463,yes
0,Coulman Island,2024-07-16-13-27-00_UMBRA-07_GEC.tif,2183.149835,169.6327198,-73.34817214,yes
0,Coulman Island,2024-08-06-12-10-54_UMBRA-05_GEC.tif,460.1090951,169.6426902,-73.3440841,yes
0,Coulman Island,2024-08-06-12-10-54_UMBRA-05_GEC.tif,269.7535362,169.6423609,-73.34467488,yes
0,Coulman Island,2024-08-06-12-10-54_UMBRA-05_GEC.tif,65.67641012,169.6418128,-73.34495729,yes
0,Coulman Island,2024-08-06-12-10-54_UMBRA-05_GEC.tif,26.30495943,169.6413125,-73.3452146,yes
0,Coulman Island,2024-08-06-12-10-54_UMBRA-05_GEC.tif,48.61606129,169.6406967,-73.34544357,yes
0,Coulman Island,2024-08-06-12-10-54_UMBRA-05_GEC.tif,32.94719589,169.6398527,-73.34576844,yes
